HostName	RecordData
PARE729026	192.168.23.38
PARE729028	192.168.23.3
PARE729029	192.168.23.26
PARE729031	192.168.23.16
PARE729032	192.168.23.2
PARE729033	192.168.23.23
PARE729034	192.168.23.29
PARE729035	192.168.23.19
PARE729036	192.168.23.18
PARE729036	192.168.1.139
PARE729038	192.168.23.12
PARE729039	192.168.1.16
PARE729039	192.168.23.30
PARE729040	172.23.30.74
PARE729040	172.23.30.107
PARE729042	192.168.23.7
PARE729043	192.168.44.21
PARE729045	192.168.23.22
PARE729046	192.168.23.3
PARE729046	10.19.4.168
PARE729047	192.168.23.15
PARE729047	192.168.1.45
PARE729048	192.168.23.27
paresxi61	172.23.10.82
paresxi62	172.23.10.83
paridrac61	parad.cofigeo.lan.
paridrac62	172.223.200.183
PARMA	172.23.10.100
PARMICOLLAB01	172.223.150.10
PARMICOLLAB02	172.223.7.11
PARPXY	172.23.10.101
PARSTATI	172.23.10.4
PARSURF01	192.168.23.8
PARSURFACE01	192.168.23.9
PARSYNO	172.23.10.250
parvcsa6	172.23.10.49
PARWDS	172.23.10.21
parwg01	172.23.10.68
PORTABLE1	172.29.30.54
POSTE-LVIEY	172.29.30.53
POSTE05	172.29.30.52
POU3070SFF01	10.19.176.139
POUAD	10.19.170.110
POUE729001	10.19.176.143
pouesxi61	10.19.160.103
pouesxi62	10.19.160.105
pouidrac61	10.19.160.153
pouidrac62	10.19.160.154
POUSYNO	10.19.160.250
pouvcsa6	10.19.160.49
POUWITINTERF	10.19.186.4
POUWITPILOTCA	10.19.186.5
POUWITPILOTPRD	10.19.186.3
ROD-ADV	172.226.50.1
ROD3070SFF01	172.226.30.63
ROD3070SFF04	172.226.30.67
ROD4000MT01	172.226.30.206
ROD540051	172.226.30.66
RODAD	172.26.10.110
RODCOLOS01	172.26.10.35
RODDATAUSI	172.26.10.22
RODE7290053	172.226.30.14
RODIMP	172.26.10.16
RODMA	172.26.10.100
RODPXY	172.26.10.101
RODSAGE	172.26.10.60
RODSYNO251	172.26.10.251
rodvcsa6	172.26.10.49
rodwds	172.26.10.21
SLV540033	192.168.20.1
SLVAD	172.20.10.110
SLVE729002	192.168.20.1
SLVERELIA01	172.20.10.22
slvesxi61	172.20.10.83
SLVMA	172.20.10.100
SLVPXY	172.20.10.101
SLVSYNO	172.20.10.251
slvvcsa6	172.20.10.49
TS6	172.19.10.91
VINCENT	172.29.30.60
W7-2016-NP	172.29.30.57
